Iteration,loss train,loss val
500,0.6006539783477783,0.5357832893476648
1000,0.572645671069622,0.5403098256911262
1500,0.5622206562757492,0.5312545147992797
2000,0.560355308830738,0.5386208174592357
2500,0.5515334197282791,0.5364021542718855
3000,0.5573855565786362,0.5348319320355431
3500,0.5545285012722015,0.5202174004861864
4000,0.5530966245532036,0.5133457123222998
4500,0.5491358970403671,0.5327574454121671
5000,0.5475437528491021,0.5239357963456945
5500,0.5414146615266799,0.5164014535435175
6000,0.5362331168055534,0.5307107325327598
6500,0.5336895066499711,0.5105111007973299
7000,0.5402048860192299,0.5144484038070097
7500,0.5355072630643845,0.5348900137311321
8000,0.539595461666584,0.5148396517260599
8500,0.5365611702203751,0.5168395087880603
9000,0.5299041306972504,0.5069295769020662
9500,0.5337231069207191,0.5015922269578708
10000,0.5346364842653275,0.5347109452142553
10500,0.5325282151699067,0.5175351934917902
11000,0.5329928634166717,0.5290268725257808
11500,0.5328250180482864,0.5440535217018451
12000,0.5337691258192062,0.5238947696604971
12500,0.5366345112919807,0.541352708460921
13000,0.5369118949174881,0.5372176614858336
13500,0.523154608130455,0.5216840566214869
14000,0.5258828719258308,0.508222810292648
14500,0.5328705081939697,0.5129943308183702
15000,0.5289912487864494,0.5103633449239245
15500,0.526548465192318,0.5284705480276528
16000,0.5401497431993485,0.5065744291927855
16500,0.5284875680804253,0.5141177525964834
17000,0.5247155953645706,0.5181429441702567
17500,0.5276314498782158,0.5297618675029884
18000,0.5235101441144944,0.5121980819661739
18500,0.5312052322626114,0.5150766478756726
19000,0.524831171631813,0.5136033352148734
19500,0.5251628996729851,0.5222079344725205
20000,0.5267647940516472,0.49809125469902815
20500,0.5219241852760315,0.5031749267699355
21000,0.528072241127491,0.5214032475220955
21500,0.5326542283296585,0.5174894873368538
22000,0.5276768796443939,0.4997105709577011
22500,0.5325483718514442,0.5324280762066276
23000,0.5204473040103912,0.4940342195963455
23500,0.5250437702536583,0.5170605132135294
24000,0.5146559812426567,0.5428895303758524
24500,0.5203643082380295,0.5092162934400267
25000,0.5197727972269058,0.5175899918806754
25500,0.5184552651047707,0.5045458856275526
26000,0.5204323714375496,0.5335950316008875
26500,0.5272580528855324,0.5238957884958235
27000,0.5327418676614761,0.49716686798354326
27500,0.5273871858119965,0.5234828323630963
28000,0.5245108781456947,0.5127264003632432
28500,0.5235458750128746,0.5183198118613939
29000,0.5268835438489914,0.5184097305192785
29500,0.5257382733821869,0.5107349450305357
30000,0.5222136353254319,0.5054798242399248
30500,0.5291736154556275,0.5154059877840139
31000,0.5274711372256279,0.5402653813362122
31500,0.5198274034857749,0.4988563550730883
32000,0.5209517486691475,0.5113323628902435
32500,0.5236161950826644,0.5272569136094238
33000,0.5235805703997612,0.5091532100055177
33500,0.5249128213524819,0.5122317525289827
34000,0.5236527120471001,0.5251243356931008
34500,0.5251767081618309,0.49890447420588996
35000,0.5219918810129166,0.5014146571442232
35500,0.526413699567318,0.5032954711025044
36000,0.5210644089579582,0.5094206732208446
36500,0.5148599727749824,0.5179135551897146
37000,0.5269460746645928,0.5276818038043329
37500,0.5261314436793327,0.5120730036396092
38000,0.5255726252794266,0.5114636921276481
38500,0.517646109700203,0.5015346241199364
39000,0.5222323583960533,0.498390891794431
39500,0.5225360295772552,0.5163150591365362
40000,0.5204559810757637,0.5169105277223102
40500,0.5185177880525589,0.5189932468584029
41000,0.5210466752052307,0.5023652158551297
41500,0.5209107658863068,0.513727371975527
42000,0.519315111875534,0.5147314844495159
42500,0.5180999940037727,0.5088957224862051
43000,0.524260481595993,0.5006791631043968
43500,0.5223194815516472,0.5206435337915258
44000,0.516668834745884,0.5321788287768929
44500,0.5241985384225846,0.5101461764109336
45000,0.519896762251854,0.5010016368607343
