Iteration,SSIM,PSNR,RMSE
1000,0.8834895368787641,39.55476595792228,41.48757712367663
2000,0.8936821301278659,40.42320804751415,37.52318874489131
3000,0.8948830043251116,40.745219461780216,36.40575594718616
4000,0.8884331339553417,40.502146306501196,37.653457462211165
5000,0.8978478349209621,41.069514372138826,35.101505310085926
6000,0.9042094111480214,41.689489930666646,33.208927685104776
7000,0.9006454840879148,41.21731857407115,34.747801986631316
8000,0.9039195373804985,41.43676858827806,33.45769939353323
9000,0.8922777790233551,40.88599600338182,35.873310429491006
10000,0.8990113890898619,41.364240028042715,34.39085329476273
11000,0.8955464007905743,41.133801272300275,35.249595197667276
12000,0.9006146936226165,41.454581222162545,34.16414301337076
13000,0.9046828168338982,41.885107231123364,32.390753642774065
14000,0.8991754999913221,41.36951452975599,34.459913392859846
15000,0.9063471023270353,42.026567277249285,32.135784835096594
16000,0.9006326503050796,41.52036490503048,33.94217047334231
17000,0.9012198993654776,41.4655338424479,33.8057228945814
18000,0.903166956362138,41.61458710672363,33.474386927265435
19000,0.8997801962191441,41.333108333347965,34.379385339356595
20000,0.901257115989846,41.47176114897681,33.604040031251586
21000,0.9006748698972848,41.53528016243227,33.78602114378764
22000,0.9058198161829863,41.784319722525915,32.84045954654624
23000,0.9037089678439031,41.731861188085546,33.1121548703739
24000,0.8989159226181992,41.5055262950733,33.875359158570504
25000,0.9048332801290325,41.92046701335072,32.26859505870601
26000,0.9019454808342581,41.554270917634966,33.66463032517752
27000,0.900880829018522,41.796931452739386,33.1860162752882
28000,0.8914703727378132,40.96249866576976,35.54235518294911
29000,0.9048597846128583,41.95714432077312,31.98629088885333
30000,0.9052472664680077,41.86740039527919,32.66117539342403
31000,0.9082687940596137,42.159805662929855,31.56827799506841
