Iteration,loss train,loss val
500,0.258438409537077,0.18721674812042108
1000,0.2213505900800228,0.17261882618827334
1500,0.21265270408988,0.16818846471733967
2000,0.2094031821191311,0.16934146327992616
2500,0.20504445272684096,0.1668935295636371
3000,0.20561930757761002,0.17128672172962608
3500,0.20031357723474502,0.1696255157812167
4000,0.19935857635736465,0.16203855710514523
4500,0.1987945531308651,0.16017859845848406
5000,0.19917985703051092,0.1643461749210196
5500,0.19645276266336442,0.16151890461727725
6000,0.19463815158605577,0.16112902192241055
6500,0.19633531588315964,0.16119076248447775
7000,0.19427375575900077,0.1570641447679471
7500,0.19502526611089707,0.15230548545970754
8000,0.1954800172150135,0.15668420986098758
8500,0.19254907003045083,0.15960802415669975
9000,0.19292442671954632,0.1576504390371048
9500,0.1904749603718519,0.16515661169916895
10000,0.191664406478405,0.15527956427659018
10500,0.18942355972528457,0.15735105273582167
11000,0.19163946878910065,0.16310497032383742
11500,0.18998636648058892,0.15881657145791134
12000,0.18842958718538283,0.15669902338314864
12500,0.1932138424217701,0.156127108608262
13000,0.1885696849822998,0.1590371716578128
13500,0.191120864123106,0.15590969738313706
14000,0.1917591060400009,0.1577247151378858
14500,0.1897043522000313,0.15977433285975862
15000,0.1871118283122778,0.1599928216408875
15500,0.18914782434701918,0.15766989616519314
16000,0.18898122081160545,0.15520938852075802
16500,0.18980425684154034,0.15636884118035688
17000,0.18946796417236328,0.1581032657522266
17500,0.18973846778273581,0.15300005181866178
18000,0.1868297213613987,0.15627903049275027
18500,0.18736197228729726,0.15778836266974272
19000,0.19071453163027763,0.15664317117909254
19500,0.1888158210813999,0.1602571833941896
20000,0.18778570029139519,0.15620584596516723
20500,0.18921938420832157,0.15473864252789546
21000,0.18756985756754876,0.15338537210630157
21500,0.18784097974002362,0.1579871168833668
22000,0.18689831027388573,0.15575194358825684
22500,0.18828615574538707,0.1641799942669222
23000,0.18852012681961058,0.15875752484899455
23500,0.18710847356915475,0.15892137359764616
24000,0.18589759634435177,0.1540921999741409
24500,0.18666554588079454,0.1590635733584226
25000,0.1870190560221672,0.15247855322845913
25500,0.1892034373730421,0.15315924786915214
26000,0.18750919760763646,0.15371038853111912
26500,0.1867830998003483,0.15584700920824276
27000,0.1858999285697937,0.15663519072330603
27500,0.18631168179214,0.1570013519060814
28000,0.18926494126021862,0.15421247722233755
28500,0.18675879479944707,0.15786675591084917
29000,0.1881106799840927,0.1560400157409199
29500,0.1877262293100357,0.16091400523812083
30000,0.18761548048257828,0.15505956151222777
30500,0.18704554077982902,0.15765143312134985
31000,0.1883041952252388,0.15791144992335368
