Iteration,SSIM,PSNR,RMSE
500,0.5670888791092973,19.605788241294793,353.69907816882983
1000,0.5896504817728191,19.66856175400304,349.7394017452512
1500,0.5737255689008028,19.300967497146136,365.75869080238283
2000,0.5747470901208828,19.309214027863344,360.65725447162765
2500,0.5876473590919319,19.65017735058999,351.2682069990888
3000,0.5874176031769969,19.714980249391417,350.51132184025323
3500,0.5892370903436971,19.498410052343555,353.8117904745431
4000,0.5886274385571747,19.568340814778715,355.87553524434753
4500,0.5787589985872845,19.457953995009778,356.86695803413687
5000,0.594403524820373,19.6713940907465,352.9131049504817
5500,0.5856299043647999,19.638457273631605,349.35227494527055
6000,0.6007222980443611,19.981715121244314,338.1275102707581
6500,0.6014976756645136,19.77564689797746,345.485584651308
7000,0.5993285567542375,19.884717304125374,345.0089319115737
7500,0.5896482846394274,19.680507401483602,348.88014145935136
8000,0.5932362888736105,19.801239319328243,352.1239053848943
8500,0.5991993050343739,19.797732320641636,347.7098051308519
9000,0.5943480669050529,19.865164522793826,345.56604843425765
9500,0.6077004723876454,20.060333956022586,337.87739332802687
10000,0.5914361758041443,19.40403688237513,358.06008486311345
10500,0.5995400327175732,19.837404708875056,343.67566375318233
11000,0.5921036375394427,19.72107477064805,348.2883566192684
11500,0.5973178518660683,19.779795609357727,349.1955195718722
12000,0.5906877944562463,19.550215017102104,358.3445523015543
12500,0.600830449827897,19.785017009038707,346.17370874943754
13000,0.5960631766632574,19.531477492515812,354.8023513158814
13500,0.5954912770632698,19.62460530380646,350.4897729501085
14000,0.5927459511580306,19.6572328465602,350.9332418537371
14500,0.5909889415311904,19.55178291293275,354.12679968112093
15000,0.5954329858154479,19.63471142185275,353.0603603180318
15500,0.6053416802705959,19.814774385804178,346.3434034000778
16000,0.6091679511717073,20.00385716340801,337.0519723004487
16500,0.5953419752834965,19.689950172145487,349.82394492713723
17000,0.5933459681086672,19.827202867871435,347.03775481463134
17500,0.6002795126838175,19.680612951061782,350.9157028851479
18000,0.5902292060535809,19.418889281317487,357.8615179542819
18500,0.596688461098427,19.471251333829553,360.0078374652108
19000,0.5993299798104524,19.64064386940498,351.5965878884708
19500,0.6062458671067642,20.068227824930656,336.4692722000999
20000,0.6051283572088123,19.973072831144798,341.64114776522496
20500,0.6031549144121423,19.686097054369732,349.68553138829714
21000,0.61034447764335,20.01146605064441,338.6966248701598
21500,0.5870457843861303,19.717866375984247,347.5966369929852
22000,0.5962212213956775,19.61451901397086,349.7986708180063
22500,0.6073976914670245,19.847149800209387,341.2374584473959
23000,0.605680684315096,19.926838667701897,344.150283324098
23500,0.6047313305951608,19.885438206829445,342.2167964639401
24000,0.6028834523799147,19.862199703425222,347.8951032453449
24500,0.5954546491173581,19.514473075263627,357.61298526855495
25000,0.5979215516050426,19.569796559842654,355.1472520093872
25500,0.590602678222023,19.4507328712399,358.9147197213441
26000,0.5978971826089554,19.488436357797152,353.3768300359151
26500,0.6040029528254038,20.00943928108371,337.21226634308937
27000,0.6056600615295297,19.972514984947374,337.73570113675004
27500,0.6032982605798777,19.66929455849269,345.9012560813818
28000,0.604165516643244,19.8841442268923,340.6290196761654
28500,0.5994142286861031,19.68224110744735,349.202554674016
29000,0.5956598812762198,19.813204947695713,346.9616395333786
29500,0.61117507867725,19.91294919997582,340.79774112066997
30000,0.6071550404100413,19.928059569716094,343.96403688802246
30500,0.6030160663001836,19.684527865015724,350.12436874864045
31000,0.6192822876230676,20.30919342256899,331.28625108831943
31500,0.6020058269297528,19.85639917107849,342.7835023838334
32000,0.5961214380968151,19.644676999305737,352.90554793167956
32500,0.6021431983139418,19.79884465360505,343.2484008459125
33000,0.6014645559742178,19.879948571721414,346.73959711615475
33500,0.6059348113295192,20.056102707644136,337.7188146067488
34000,0.6032556322925073,19.758439833828163,347.06303649973853
34500,0.5950953428767888,19.67528172264759,350.28737889193957
35000,0.6084261038002052,20.033860820590856,338.55359576498176
35500,0.6042774618071282,19.984139284939243,338.11553706835105
36000,0.6018069759478749,19.69552978761743,349.46153970225663
36500,0.5961519654489374,19.72627273901392,352.32798718407633
37000,0.6003487102992711,19.86298142621318,344.7101172503296
37500,0.5957035409930176,19.84916525457643,348.62774774590724
38000,0.6010335525362015,19.745371057264485,349.86535297139227
38500,0.6056246477377689,20.040154667568398,334.8271322923514
39000,0.6118631361327599,20.049216507202214,336.6163889100343
39500,0.6062385990443636,19.997907798137877,337.7990417753081
40000,0.6059808016884081,19.995038825810322,340.4943049394895
40500,0.6081205442738687,20.162128541235017,331.84607977231235
41000,0.6051531042418922,19.923366781314353,337.98287507557137
41500,0.6141938372175625,20.03916251619272,335.1086470563004
42000,0.6011090209514014,19.783299794739058,345.256228958323
42500,0.6123164662716988,19.973603073403883,338.2627474324031
43000,0.6059823587078434,19.766017312100953,342.40713799749767
43500,0.5991164283051981,19.85768392065583,341.25669070247886
44000,0.6084868572049843,20.06411108892414,338.53257454722205
44500,0.6036809636868112,19.667574023768275,351.67404143969645
45000,0.5942935991917195,19.611248372773176,353.1784690399646
45500,0.6097472829975916,19.938108414944058,343.60066651063346
46000,0.6059908608952611,19.84521249269559,345.52464525856254
