Iteration,SSIM,PSNR,RMSE
1000,0.8828293559443874,39.429527381573834,42.06857657832953
2000,0.8918844103836431,40.11621642867336,38.2707211857148
3000,0.8945051819882394,40.54952750156275,37.00501892270632
4000,0.8873229379992708,40.49874926176197,37.636572404554045
5000,0.8988431576601935,41.03535875217286,35.149860378158664
6000,0.9020601802517884,41.59785640057497,33.61842126438921
7000,0.9012174740656419,41.31954864787092,34.51137907107533
8000,0.9019089432212076,41.33488980631599,33.80194784831962
9000,0.8891483653809518,40.79429078215752,36.15824657689182
10000,0.8975708562366498,41.28698849194325,34.657682857364605
11000,0.8929090406697365,41.054474633808304,35.6114195882328
12000,0.8983080288804938,41.36014844544414,34.457205795249116
13000,0.9063680890438625,41.93323248744688,32.33353017011836
14000,0.8978198421012137,41.25239567304118,34.86467248409565
15000,0.9054551470492044,41.98999966340117,32.31848613124237
16000,0.8991607756416761,41.29591215042504,34.66769384006054
17000,0.9000401138251193,41.363520344545826,34.1381820874775
18000,0.9008795074729432,41.53656341831668,33.74830147534573
19000,0.9006822779385106,41.35417600336479,34.281208674902
20000,0.9009721109136303,41.42029024363895,33.82994118652332
21000,0.8991344029470913,41.54205066544602,33.8449057854063
22000,0.9029130981685228,41.70806296535463,33.150681811385866
23000,0.9028127428114499,41.7668956977278,33.0738655463824
24000,0.8986075815529944,41.469347838403785,34.03365644861857
25000,0.9056254179516475,41.898884287064426,32.359433456211136
26000,0.8994010540643572,41.44792028934979,34.095720238755796
27000,0.900413788549423,41.58097726117358,33.68538967007901
28000,0.8914052589336174,41.000034256885,35.400146722671714
29000,0.903810844030151,41.92883754189532,32.11962003786485
30000,0.904622560520728,41.81914063596103,32.8023199640462
31000,0.9078654837430483,42.11296089044736,31.693784612324674
