Iteration,loss train,loss val
1000,0.10992848242819309,0.07742062166838323
2000,0.09331823577731847,0.07168502707855176
3000,0.08920599810406565,0.06816674093321218
4000,0.0876400873735547,0.07043123447288901
5000,0.08518393002822995,0.06722309446688425
6000,0.08477369115129113,0.0675875863407628
7000,0.08367599665746092,0.06520332932724791
8000,0.08309685665741563,0.06699002938250363
9000,0.08181737539172172,0.06538791581988335
10000,0.08161473871394992,0.06438678610375372
11000,0.08141047558188438,0.06355824207855483
12000,0.08148259640857577,0.06398308270816076
13000,0.08055527825653554,0.0637906976044178
14000,0.08083699961006642,0.06455513683416075
15000,0.0802324241027236,0.0642731343159231
16000,0.07965106021240353,0.06472134956363905
17000,0.07992007839679718,0.06460324996861361
18000,0.07955518082901836,0.06429188174463935
19000,0.0793160257153213,0.06261740416540938
20000,0.0793241280503571,0.0607810242701385
21000,0.07928600963577628,0.0641674881769439
22000,0.07946720693260431,0.062488275564323036
23000,0.0786401382945478,0.06580122055138572
24000,0.0786843056678772,0.06365227358321011
25000,0.0791030666641891,0.06428346145203558
26000,0.0789013009481132,0.06278880767650523
27000,0.07781812696903943,0.060822376381542725
28000,0.07833902625367045,0.06505501794360452
29000,0.07875422438979149,0.06376928128933503
30000,0.07812723587825894,0.06404781954015716
31000,0.07824508682638406,0.0649704532855648
