Iteration,SSIM,PSNR,RMSE
1000,0.8548412195260463,37.47544381655214,48.519095159337056
2000,0.8629451734750433,38.08899355280463,45.18907853601592
3000,0.8687102326164299,38.508993932668844,43.314062005426756
4000,0.8605163532239649,37.92457541056102,45.49203726875256
5000,0.8640642601400889,38.59807003341972,43.16950731051972
6000,0.8655957955516972,38.38216655987118,43.550856594774714
7000,0.8708484407553546,38.92311554701585,41.862328926410406
8000,0.8633529811984298,38.525584045476194,43.351197477304254
9000,0.8656114805134221,38.81734390687822,42.31604615675358
10000,0.8697099710243906,39.039448936309086,41.71514755769822
11000,0.8712583623756855,39.104780390474744,41.24823969253684
12000,0.8707709953148797,39.09766977360543,41.36159134502604
13000,0.8710404060127562,39.02393537787284,41.47171287608184
14000,0.8692955777896715,38.96507073235012,41.65477788117611
15000,0.869242842187297,38.931658898006035,41.709817108888245
16000,0.8686980306581271,39.01236303521736,41.87459880306896
17000,0.868096786956143,38.91548505066549,41.8305965182289
18000,0.8657644717137859,38.95138421667707,41.79457895194508
19000,0.8683096294771246,39.21192397288045,40.649947304421346
20000,0.8757922228107007,39.72491402275249,39.39294211937741
21000,0.8709336065942987,38.94550668656484,41.6635721771853
22000,0.8743870594688443,39.312387372703874,40.4878357167012
23000,0.863832790915352,38.7018594289586,42.600096079274536
24000,0.8704493569780443,39.01287521944872,41.21056005072118
25000,0.8641402525396559,38.88295607673606,42.091720614288256
26000,0.876289958585973,39.24982687242009,40.70702591536366
27000,0.875206288585863,39.62469412211785,39.486673526279056
28000,0.8688797737548304,38.83253204583773,41.97027358903914
29000,0.8661703295277762,39.14833267136719,41.5343795092338
30000,0.8685536206796927,38.98604075084567,41.534690559439845
31000,0.8678592427389142,38.90733318740724,42.41686403498804
