Iteration,loss train,loss val
1000,0.1062285908125341,0.07302781585919654
2000,0.0911038621775806,0.06893224673250974
3000,0.08705281549692154,0.06645063512911231
4000,0.08533131034299732,0.06978757685776484
5000,0.08361351153627038,0.06607844301704634
6000,0.0829717870876193,0.06686309276748512
7000,0.08237185015156866,0.0644355805874881
8000,0.08221828535944223,0.06619831401917894
9000,0.08130183612555265,0.06488817601890887
10000,0.08104549850523472,0.06414479572894209
11000,0.08114103896915913,0.06321246227470495
12000,0.08085245364904403,0.063384193232504
13000,0.08001042992249131,0.06366332595126103
14000,0.08026823187619447,0.06402572705331495
15000,0.08013003578037023,0.06402386188254518
16000,0.07934689167514443,0.06453891464714277
17000,0.07967845033109187,0.06427096398705143
18000,0.07936050513759256,0.06406568874747066
19000,0.07904471676424146,0.062463629611973034
20000,0.07916811865195632,0.06065607089865006
21000,0.07920060101896524,0.06429525932012978
22000,0.07949588339403271,0.06234873401916633
23000,0.07851144248992205,0.06584803936845166
24000,0.07854220431670547,0.06356258437795154
25000,0.07881835040077567,0.06467475243291612
26000,0.07885205891355872,0.062883921472703
27000,0.07762569878250361,0.06081318747946771
28000,0.07831637885048985,0.06489803168480679
29000,0.07869874886423349,0.06378752529873687
30000,0.0780833742171526,0.0639992206657337
31000,0.07813683092221618,0.06532527045425722
